"","x"
"1",-1.46629922622196
"2",-0.355151116243035
"3",-0.204621302697889
"4",0.0128049199124919
"5",-0.0787971055422772
"6",-0.0666425688557586
"7",0.442542329552099
"8",0.0440672534403264
"9",0.463694187775154
"10",-0.827117555704784
"11",0.0246807214069109
"12",-0.116883338170534
"13",-0.165290766168172
"14",0.115700379638063
"15",0.0282593755026975
"16",-0.0122905694267342
"17",0.349349248609849
"18",-0.377658415641611
"19",0.306347145735789
"20",0.0436524857281376
"21",-0.116072027178657
"22",0.0930072572657861
"23",0.175160743759465
"24",0.0502838899923234
"25",-0.112722316880593
"26",-0.257010599150822
"27",0.263295251515766
"28",0.0254422407367396
"29",0.0662958167559034
"30",0.250007547426935
"31",-0.200881720415273
"32",0.191501197610311
"33",-0.179668516685486
"34",-0.773749349326818
"35",0.235171908523688
"36",-0.0576087979440349
"37",0.122220647143039
"38",-0.0659059446475113
"39",0.0216777625592104
"40",0.537654993193338
"41",-0.490541660322127
"42",-0.625728155787101
"43",1.6103901309106
"44",-0.40846286146341
"45",0.056500526337077
"46",0.0634786820484686
"47",0.160164176418939
"48",0.400004786275442
"49",-1.05930473053225
"50",0.234621108365326
"51",-0.3305882033939
"52",0.197160362901609
"53",-0.332897658205802
"54",0.0929210164690933
"55",-0.480628562388609
"56",0.169519803714012
"57",0.208714307616156
"58",0.200324248972789
"59",0.0244948972969484
"60",-0.00873681059643749
"61",0.286056390018864
"62",-0.112883245074896
"63",0.0827042868958302
"64",-0.076927313860949
